feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,0.91656494,0.9645088,1.1897787,0.999806,-4.2005653,-3.7574553
attn_0_0_outputs,1,0.51614887,0.74774814,0.3070399,-1.4721185,-0.9772015,-0.67416465
attn_0_0_outputs,2,0.39145106,0.7091103,0.32690075,-1.2119976,-1.8651885,-0.7937843
attn_0_0_outputs,3,0.13216867,0.46543685,0.45827162,-1.1583629,-1.0475886,-0.1281714
attn_0_0_outputs,4,-0.4845539,-0.0006331897,0.6699373,0.47324893,-1.2493635,-0.40915102
attn_0_0_outputs,5,-0.22433119,0.46268922,1.1842842,1.5355383,1.7180611,-0.59626716
attn_0_0_outputs,6,-0.9995654,-0.19671232,0.8616993,1.5650722,1.8239226,0.97396785
attn_0_0_outputs,7,-1.1350032,-0.11579931,0.9340629,1.9810579,2.5044386,0.18177202
attn_0_1_outputs,0,1.4071805,0.55763465,0.47635242,-0.62384075,-0.71580696,0.44857195
attn_0_1_outputs,1,0.8083795,0.12333034,-0.05381088,-1.2847688,-0.9663164,-1.0920662
attn_0_1_outputs,2,0.85263693,0.08205613,-0.04127849,-1.2705485,-1.0839957,-0.8957584
attn_0_1_outputs,3,0.979662,0.19154836,0.04527894,-0.9074456,-0.91189545,-0.424699
attn_0_1_outputs,4,1.0536882,0.22480682,0.2592568,-0.64871126,-0.5453692,-0.5361815
attn_0_1_outputs,5,0.8435152,0.13784818,-0.024905851,-0.96521693,-1.0730385,-0.7455448
attn_0_1_outputs,6,0.8776426,0.09032057,-0.03371361,-0.90794283,-0.8902785,-0.26677877
attn_0_1_outputs,7,1.0483683,0.24678902,0.23311374,-0.65557003,-0.7754902,-0.38120884
mlp_0_0_outputs,0,0.8709463,0.771269,0.4688869,-1.2222987,-0.13351598,-0.6978929
mlp_0_0_outputs,1,0.265322,0.74697787,0.34567407,-0.47102234,-0.7346949,-0.28369287
mlp_0_0_outputs,2,0.15577601,-0.09859375,0.061118826,-0.13153024,-0.080862716,-0.5499036
mlp_0_0_outputs,3,0.22068384,0.061731424,0.6124753,-0.39439514,-0.19321145,-0.48437682
mlp_0_0_outputs,4,-0.25013247,0.92817295,0.43345398,-0.8463234,-0.6528455,-0.5447704
mlp_0_0_outputs,5,0.12920523,0.35807082,0.30234554,0.17231633,-0.8216533,-0.43914932
mlp_0_0_outputs,6,-0.053204015,0.67139775,-0.13869104,0.6796582,-0.8962358,-1.4597217
mlp_0_0_outputs,7,0.29272962,0.5040791,0.1793574,-0.61003006,-0.608613,-1.2151686
num_attn_0_0_outputs,_,1.2497753,0.83683884,0.46787348,-0.006846861,-0.95672953,-2.9289596
num_attn_0_1_outputs,_,1.4107783,1.0419086,0.60715204,0.21396755,-0.54235655,-2.332371
num_mlp_0_0_outputs,0,0.82700443,0.7556862,-0.05074577,0.05997535,-0.10915031,-0.9573426
num_mlp_0_0_outputs,1,0.37292087,0.27592093,0.119198725,-0.9922761,-0.8013623,-0.75258505
num_mlp_0_0_outputs,2,0.11784492,0.60045445,0.43315002,-0.55329853,-0.061968252,-0.4946205
num_mlp_0_0_outputs,3,-0.23917988,0.5429644,0.751338,0.018074874,-1.0457782,-1.0545424
num_mlp_0_0_outputs,4,0.2633261,0.048943996,0.23346075,-0.25875765,-0.046124283,-0.4811442
num_mlp_0_0_outputs,5,0.5072218,-0.38675138,0.52587545,-0.7648863,-0.58121496,-0.14256018
num_mlp_0_0_outputs,6,-0.37289944,-0.11289363,0.048679724,-0.32912606,-0.34669146,-1.5777003
num_mlp_0_0_outputs,7,0.014336064,0.33803764,0.50242573,-0.63374853,-0.43165684,-0.2972616
ones,_,0.30632624,0.3532402,0.0049033267,-0.22760823,-0.47926047,-0.5288807
positions,0,0.3759621,-0.8572161,0.63401145,0.0071611656,-0.31666398,0.41969234
positions,1,0.54036254,0.45295614,0.32745996,-0.19235326,0.06313048,-0.31529486
positions,2,0.3566087,0.15791436,0.017185982,-0.5478144,-0.24167728,-0.3586296
positions,3,0.50025696,0.32763392,0.2642358,-0.30511054,0.13230172,-0.16411105
positions,4,0.25882155,0.19976585,0.07643591,-0.46481317,-0.046342745,-0.3472775
positions,5,-0.17355007,-0.11209306,-0.20873128,-0.7959399,-0.65261215,-0.6349181
positions,6,0.45391032,0.40442047,0.26647413,-0.29513535,0.042690188,-0.15030752
positions,7,0.1826346,0.10962452,0.17947681,-0.33001977,0.4596742,-0.46885052
tokens,0,0.26312268,0.16181153,0.12215817,-0.3929214,-0.15566291,1.1819634
tokens,1,0.2648114,0.13850369,0.23632066,-0.13876766,-1.3009267,-3.5255668
tokens,2,0.34112227,0.28003135,0.22020608,0.18520297,0.3850895,0.76638424
tokens,3,0.3829369,0.29806155,0.24289013,0.07819387,-0.19962919,-3.3039827
tokens,4,0.23956211,0.21612316,0.1248796,-0.16114977,-0.7844375,1.0529135
tokens,5,0.4451456,0.3827682,0.26457015,0.2109409,-0.19917254,-2.6730406
tokens,<pad>,-0.06717016,0.7994861,-0.07982149,-0.11963802,0.27163547,-0.9044516
tokens,<s>,0.4231804,-0.07947061,0.75688726,-0.27855757,-0.15277654,-0.8548016
